AChecker,Result,,Known,,,Likely,,,Potential,,,Total Validator,
ID,P/F,A,AA,AAA,A,AA,AAA,A,AA,AAA,A,AA,AAA
1,F,0,5,5,0,284,101,260,284,289,67,7,0
2,P,0,0,0,0,0,0,35,37,39,4,1,0
3,F,1,1,1,16,16,67,212,229,234,14,4,0
4,F,37,25,25,1,1,126,268,302,307,33,3,0
5,F,17,15,15,2,2,277,406,448,453,31,6,0
6,F,0,5,5,0,0,120,372,391,410,5,0,0
7,F,15,15,15,0,0,269,490,524,529,18,4,0
8,F,1,1,1,0,0,1343,1409,1428,1434,37,1,0
9,P,0,0,0,0,0,1,96,99,104,4,15,0
10,F,7,7,7,0,0,38,278,314,320,20,1,0
11,P,0,0,0,0,0,115,206,261,267,5,0,0
12,F,3,6,6,5,5,219,355,363,373,71,0,5
13,F,7,7,7,0,0,114,290,318,323,7,5,0
14,F,6,4,4,0,0,191,304,347,357,8,0,0
15,F,15,20,20,1,1,73,166,181,186,3,0,0
16,F,15,10,10,1,1,171,166,310,316,27,6,0
17,F,2,0,2,0,0,113,244,298,304,1,2,0
18,F,1,3,3,0,1,178,342,361,388,8,5,0
19,F,0,1,1,0,0,119,273,306,312,5,1,0
20,F,22,28,22,0,0,0,580,624,580,69,1,0
21,F,5,15,15,4,4,376,655,679,685,22,1,0
22,F,4,4,4,0,0,36,162,174,183,6,2,0
23,P,0,0,0,0,0,97,185,222,231,8,5,0
24,F,4,3,3,0,0,218,43,472,478,25,2,0
25,P,0,0,0,0,0,309,396,438,443,1,1,0
26,F,0,1,1,0,0,183,420,431,436,18,3,0
27,F,6,13,13,8,8,100,288,326,332,12,1,0
28,F,0,1,1,0,0,183,420,431,436,18,3,0
29,F,7,7,7,0,0,1126,1404,1482,1487,3,3,0
30,F,3,3,3,0,0,77,292,320,325,17,2,0
31,F,1,1,1,5,5,349,603,674,680,40,0,0
32,F,1,5,5,1,1,31,108,121,126,0,0,0
33,F,10,24,24,1,1,48,165,184,183,13,0,1
34,P,0,0,0,0,0,0,107,109,111,13,10,0
35,F,7,22,22,0,0,265,456,504,509,273,9,0
36,F,101,117,117,2,2,177,754,842,847,61,70,1
37,F,6,4,4,64,64,325,836,853,794,10,3,0
38,F,31,33,36,3,3,118,245,278,284,34,0,2
39,F,1,1,1,0,0,65,183,201,208,9,0,0
40,F,4,4,4,0,0,95,249,277,280,10,2,0
41,P,0,0,0,3,3,142,244,270,276,4,4,0
42,F,8,8,8,243,243,241,880,902,662,17,3,0
43,F,0,2,2,0,0,41,106,118,123,3,0,0
44,F,22,28,28,3,3,261,398,489,494,20,1,1
45,F,12,18,18,2,2,225,406,443,448,22,23,0
46,P,0,0,0,0,0,0,29,32,37,1,1,0
47,F,0,2,2,0,0,73,153,187,192,5,4,0
48,P,0,0,0,0,11,33,239,242,248,7,0,0
49,P,0,0,0,0,0,83,160,214,220,41,0,0
50,F,2,2,2,0,0,85,231,298,314,10,3,0
51,F,4,9,9,1,1,143,255,285,291,10,0,0
52,F,3,14,14,0,0,72,165,195,201,19,2,0
53,F,7,18,18,2,2,99,259,275,283,40,1,0
54,F,3,4,4,0,0,101,205,224,236,7,0,0
55,F,0,9,9,0,0,28,105,117,123,20,0,0
56,F,9,11,11,1,1,236,319,349,356,111,2,0
57,F,3,3,3,0,0,59,212,246,251,49,1,0
58,F,1,10,10,0,0,246,432,450,456,10,3,0
59,F,6,21,21,0,0,99,246,272,281,23,1,0
60,F,1,2,2,0,0,26,107,121,126,30,1,0
61,F,10,81,191,1,1,171,650,717,722,50,2,1
62,F,8,8,8,1,1,342,436,467,476,6,2,1
63,P,0,0,0,0,0,100,184,199,204,30,3,0
64,F,2,5,5,0,0,86,353,373,379,27,2,0
