ID,Ranking,P,O,U,R,Error %,Performance
1,33,4,1,0,0,4.27%,High
2,1,0,0,0,0,0.00%,High
3,12,0,0,1,0,0.85%,High
4,59,13,6,5,1,21.37%,High
5,52,10,3,0,4,14.53%,High
6,33,3,2,0,0,4.27%,High
7,50,10,2,3,0,12.82%,High
8,12,0,0,0,1,0.85%,High
9,1,0,0,0,0,0.00%,High
10,38,5,1,1,0,5.98%,High
11,1,0,0,0,0,0.00%,High
12,37,5,0,1,0,5.13%,High
13,38,0,7,0,0,5.98%,High
14,27,2,0,1,1,3.42%,High
15,55,20,0,0,0,17.09%,High
16,43,7,1,0,1,7.69%,High
17,19,0,0,1,1,1.71%,High
18,24,1,1,0,1,2.56%,High
19,12,1,0,0,0,0.85%,High
20,60,6,22,0,0,23.93%,High
21,50,13,1,1,0,12.82%,High
22,27,3,0,1,0,3.42%,High
23,1,0,0,0,0,0.00%,High
24,24,1,0,1,1,2.56%,High
25,1,0,0,0,0,0.00%,High
26,12,0,1,0,0,0.85%,High
27,48,6,5,2,0,11.11%,High
28,12,0,1,0,0,0.85%,High
29,38,4,0,3,0,5.98%,High
30,24,0,3,0,0,2.56%,High
31,12,0,0,0,1,0.85%,High
32,33,4,0,0,1,4.27%,High
33,58,19,4,0,1,20.51%,High
34,1,0,0,0,0,0.00%,High
35,57,15,6,0,1,18.80%,High
36,64,91,3,23,0,100.00%,Low
37,27,2,0,1,1,3.42%,High
38,62,16,3,14,0,28.21%,High
39,12,0,0,0,1,0.85%,High
40,27,4,0,0,0,3.42%,High
41,1,0,0,0,0,0.00%,High
42,41,6,0,2,0,6.84%,High
43,19,0,2,0,0,1.71%,High
44,60,16,7,4,1,23.93%,High
45,53,10,7,1,0,15.38%,High
46,1,0,0,0,0,0.00%,High
47,19,0,2,0,0,1.71%,High
48,1,0,0,0,0,0.00%,High
49,1,0,0,0,0,0.00%,High
50,19,1,1,0,0,1.71%,High
51,43,5,4,0,0,7.69%,High
52,49,13,0,1,0,11.97%,High
53,53,11,7,0,0,15.38%,High
54,27,3,1,0,0,3.42%,High
55,43,7,2,0,0,7.69%,High
56,47,5,3,3,0,9.40%,High
57,27,2,0,1,1,3.42%,High
58,46,9,1,0,0,8.55%,High
59,56,18,1,2,0,17.95%,High
60,19,0,1,0,1,1.71%,High
61,63,81,0,0,0,69.23%,Low
62,41,4,3,1,0,6.84%,High
63,1,0,0,0,0,0.00%,High
64,33,3,2,0,0,4.27%,High
