Website ID,WAVE,,,,,,HTML Val.,CSS Val.
,Errors,Alerts,Features,Structural Elements,HTML5 & ARIA,Contrast Errors,,
1,2,5,29,31,98,3,34,13
2,1,9,3,20,4,1,4,46
3,6,24,11,20,43,0,38,5
4,8,22,12,36,21,2,11,7
5,0,38,16,68,49,4,24,11
6,0,31,38,46,13,7,5,18
7,2,49,33,60,87,1,55,7
8,3,6,10,293,4511,7,5,16
9,0,4,19,192,709,1,3,8
10,9,11,4,70,7,2,45,93
11,1,42,17,63,15,0,4,14
12,0,14,53,34,63,10,0,0
13,0,5,20,38,59,0,1,19
14,4,110,11,53,220,10,123,7
15,0,5,22,23,0,1,1,2
16,0,12,15,49,72,6,51,23
17,0,7,24,81,69,0,34,13
18,0,20,27,21,3,1,24,7
19,0,18,20,52,61,0,3,80
20,0,103,63,53,40,20,49,74
21,19,49,39,55,92,3,73,23
22,1,18,17,9,1,0,22,8
23,0,15,17,54,9,1,5,5
24,0,35,41,55,27,19,38,5
25,1,62,24,79,337,5,1,37
26,0,36,147,118,232,12,16,39
27,0,20,29,35,25,2,3,1
28,0,8,22,59,22,6,13,2
29,9,105,40,425,799,12,16,65
30,0,4,19,38,22,2,58,22
31,2,26,22,109,38,11,47,15
32,0,2,8,20,15,0,6,0
33,5,5,8,25,15,53,14,11
34,2,8,19,46,66,0,20,49
35,21,72,67,114,118,0,193,14
36,11,181,475,85,401,3,29,18
37,3,18,24,209,600,12,8,30
38,16,17,13,60,1,80,6,16
39,0,16,12,18,9,2,8,5
40,4,11,21,36,55,5,39,5
41,0,3,18,43,122,0,14,11
42,6,23,19,15,0,13,46,0
43,0,4,8,11,2,23,5,2
44,11,200,11,132,63,22,44,13
45,3,25,27,64,96,3,154,69
46,1,6,19,38,74,0,1,11
47,1,5,7,38,5,0,2,13
48,5,16,9,167,439,6,37,8
49,1,38,5,70,113,0,15,41
50,8,10,15,77,16,23,17,21
51,5,6,18,57,49,4,25,10
52,0,37,13,37,99,0,14,38
53,6,35,23,38,98,0,5,3
54,3,65,17,32,0,0,5,26
55,0,25,11,50,520,0,7,4
56,4,41,44,59,132,5,58,11
57,2,31,32,44,107,3,29,11
58,4,2,21,63,37,105,10,23
59,2,38,9,42,65,7,58,64
60,1,11,7,28,63,0,39,1
61,0,91,135,83,96,1,69,61
62,0,36,9,22,27,0,38,50
63,9,14,11,97,14,4,18,6
64,0,66,41,23,7,2,47,28
